po_id,supplier_name_raw,true_supplier,true_category,item_description,business_unit,order_qty,invoice_value
PO100000,Kirloskar Bros Ltd,Kirloskar Brothers Limited,Pumps & Compressors,screw compressor 250cfm,Coke Oven,358,48839015.14
PO100001,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Plate Mill,173,14233322.42
PO100002,KBL,Kirloskar Brothers Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,310,34008249.3
PO100003,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,194,15193542.62
PO100004,CASTROL INDIA,Castrol India Limited,Lubricants,EP2 grease lithium 18kg,Coke Oven,24,391577.04
PO100005,atlas copco,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Hot Strip Mill,195,21835620.3
PO100006,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Hot Strip Mill,108,2221389.36
PO100007,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,belt fastener MS clip 1200,Coke Oven,126,5385919.14
PO100008,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Blast Furnace,432,7769818.08
PO100009,KBL,Kirloskar Brothers Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,206,22711131.26
PO100010,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,203,4019615.18
PO100011,shanthi gears,Shanthi Gears Limited,Gears & Drives,bevel gearbox right angle,Power Plant,127,41029489.95
PO100012,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Steel Melt Shop,205,25866367.0
PO100013,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,VFD 132KW 415V drive,Power Plant,441,19835328.87
PO100014,TRL Krosaki Refractories Ltd,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Blast Furnace,198,6903008.64
PO100015,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Plate Mill,59,981446.12
PO100016,SMC Pneumatics,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Hot Strip Mill,223,2832298.47
PO100017,Fenner Conveyor Belting,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Hot Strip Mill,55,5384524.75
PO100018,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Plate Mill,83,1495484.87
PO100019,SKF INDIA,SKF India Limited,Bearings & Spares,deep groove ball brg 6312,Blast Furnace,58,1485810.36
PO100020,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,gear coupling GC 250,Steel Melt Shop,291,110820814.14
PO100021,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Hot Strip Mill,273,53078303.46
PO100022,Shanthi Gears Ltd,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Sinter Plant,447,126718179.42
PO100023,SKF INDIA,SKF India Limited,Bearings & Spares,plummer block SNH 517,Steel Melt Shop,344,6939381.28
PO100024,shanthi gears,Shanthi Gears Limited,Gears & Drives,helical geared motor 11KW,Coke Oven,33,6820851.51
PO100025,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Blast Furnace,363,40741987.44
PO100026,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Coke Oven,37,5620018.06
PO100027,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,conv pulley lagged 630dia,Coke Oven,371,38201910.81
PO100028,KBL,Kirloskar Brothers Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Power Plant,414,55390355.82
PO100029,S.K.F. India Limited,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,211,3504072.78
PO100030,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Coke Oven,373,29837366.62
PO100031,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Central Maintenance,230,34521192.2
PO100032,shanthi gears,Shanthi Gears Limited,Gears & Drives,WORM GEARBOX 1:40 ratio,Blast Furnace,473,62227917.84
PO100033,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Hot Strip Mill,277,5274642.31
PO100034,SKF INDIA,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Hot Strip Mill,247,2882013.29
PO100035,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Power Plant,200,2534292.0
PO100036,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,375,8073221.25
PO100037,Elecon Engg Co,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Plate Mill,112,43349698.56
PO100038,Rexroth India,Bosch Rexroth India Limited,Hydraulics,hyd power pack 90L 210bar,Blast Furnace,300,28555539.0
PO100039,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,CENTRIFUGAL PUMP 150x125,Coke Oven,42,8772829.38
PO100040,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Steel Melt Shop,483,12007669.8
PO100041,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Coke Oven,299,5538057.07
PO100042,CASTROL INDIA,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Sinter Plant,161,1565483.5
PO100043,SKF India Ltd,SKF India Limited,Bearings & Spares,SPHERICAL ROLLER BRG 22320,Central Maintenance,476,10548807.36
PO100044,Castrol India Ltd,Castrol India Limited,Lubricants,gear oil 320 ISO VG,Sinter Plant,289,6224799.9
PO100045,Elecon Engineering,Elecon Engineering Company,Gears & Drives,bevel gearbox right angle,Sinter Plant,179,64784959.85
PO100046,ELECON,Elecon Engineering Company,Gears & Drives,WORM GEARBOX 1:40 ratio,Sinter Plant,427,113308865.18
PO100047,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Steel Melt Shop,54,12078675.18
PO100048,ATLAS COPCO,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,381,60386518.8
PO100049,L and T Ltd,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Sinter Plant,105,10244035.2
PO100050,atlas copco,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Sinter Plant,434,31935894.34
PO100051,Rexroth India,Bosch Rexroth India Limited,Hydraulics,proportional valve 4WRE 25,Hot Strip Mill,171,21838182.57
PO100052,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,HT MOTOR 1000KW 6.6KV,Steel Melt Shop,283,28078054.42
PO100053,Bosch Rexroth India Ltd,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Plate Mill,453,53842524.51
PO100054,TRL Krosaki,TRL Krosaki Refractories Limited,Refractories,ladle slide gate plate,Plate Mill,76,2816202.8
PO100055,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,submersible pump 30HP,Coke Oven,408,93554877.36
PO100056,castrol india,Castrol India Limited,Lubricants,turbine oil 46,Hot Strip Mill,342,2600424.36
PO100057,Atlas Copco India Ltd,Atlas Copco India Limited,Pumps & Compressors,vacuum pump RH,Blast Furnace,122,25756439.92
PO100058,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Sinter Plant,474,97172388.96
PO100059,Elecon Engineering,Elecon Engineering Company,Gears & Drives,gear coupling GC 250,Coke Oven,360,50729526.0
PO100060,ELECON,Elecon Engineering Company,Gears & Drives,helical geared motor 11KW,Coke Oven,471,113815609.83
PO100061,BOSCH REXROTH,Bosch Rexroth India Limited,Hydraulics,HYD CYLINDER 100/56x800 mill,Sinter Plant,99,8566518.51
PO100062,S.K.F. India Limited,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Blast Furnace,261,3991663.53
PO100063,SMC PNEUMATICS,SMC Pneumatics India Limited,Pneumatics,FRL unit 1/2in air prep,Blast Furnace,497,7510882.68
PO100064,SMC India,SMC Pneumatics India Limited,Pneumatics,air filter regulator G3/8,Steel Melt Shop,223,3810864.84
PO100065,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Blast Furnace,296,3317135.84
PO100066,FENNER INDIA,Fenner Conveyor Belting India,Conveyor & Handling,idler roller 152dia,Plate Mill,413,29735694.38
PO100067,SKF INDIA,SKF India Limited,Bearings & Spares,taper roller bearing 32218,Steel Melt Shop,486,9939978.18
PO100068,Larsen & Toubro,Larsen and Toubro Limited,Electrical & Automation,MCCB 400A 4P,Plate Mill,154,12496815.1
PO100069,SKF India Ltd,SKF India Limited,Bearings & Spares,plummer block SNH 517,Power Plant,152,2783278.08
PO100070,castrol india,Castrol India Limited,Lubricants,hydraulic oil HLP 68 210L,Power Plant,463,4034966.29
